Item Type,Date,Author,Title,Library Catalog
JA,2016,"Jafarpisheh, Amir Salar; Jafari, Amir Homayoun; Abolhassani, Mohammadjavad; Farhadi, Mohammad; Sadjedi, Hamed; Pourbakht, Akram; Shirzhiyan, Zahra",Nonlinear feature extraction for objective classification of complex auditory brainstem responses to diotic perceptually critical consonant-vowel syllables,Springer
JA,2016,"Cevallos-Larrea, Pablo; Pereira, Thobias; Santos, Wagner; Frota, Silvana M.; Infantosi, Antonio F.; Ichinose, Roberto M.; Tierra-Criollo, Carlos",Assessment of frequency specific auditory steady-state response using amplitude modulation with 2-order exponential envelope,PubMed
JA,2016,"Undurraga, Jaime A.; Haywood, Nick R.; Marquardt, Torsten; McAlpine, David",Neural Representation of Interaural Time Differences in Humans—an Objective Measure that Matches Behavioural Performance,PubMed
JA,2015,"Cai, Yuexin; Zheng, Yiqing; Liang, Maojin; Zhao, Fei; Yu, Guangzheng; Liu, Yu; Chen, Yuebo; Chen, Guisheng",Auditory Spatial Discrimination and the Mismatch Negativity Response in Hearing-Impaired Individuals,PubMed
JA,2015,"Ikeda, Kazunari",Binaural interaction in human auditory brainstem response compared for tone-pips and rectangular clicks under conditions of auditory and visual attention,ScienceDirect
JA,2015,"Papesh, Melissa A.; Billings, Curtis J.; Baltzell, Lucas S.",Background noise can enhance cortical auditory evoked potentials under certain conditions,ScienceDirect
JA,2015,"Haywood, Nicholas R.; Undurraga, Jaime A.;",A Comparison of Two Objective Measures of Binaural Processing,PubMed
JA,2014,"Ross, Bernhard; Miyazaki, Takahiro; Thompson, Jessica;o",Human cortical responses to slow and fast binaural beats reveal multiple mechanisms of binaural hearing,PubMed
JA,2014,"Ahveninen, Jyrki; Kopčo",Psychophysics and neuronal bases of sound localization in humans,ScienceDirect
JA,2014,"Ahadi, Mohsen; Pourbakht, Akram; Jafari",Gender disparity in subcortical encoding of binaurally presented speech stimuli: An auditory evoked potentials study,Springer
JA,2013,"Senkowski, Daniel; Pomper, Ulrich; Fitzner, Inga; Engel,",Beta‐band activity in auditory pathways reflects speech localization and recognition in bilateral cochlear implant users,PubMed Central
JA,2013,"Epp, Bastian; Yasin, Ifat; Verhey, Jesko L.",Objective measures of binaural masking level differences and comodulation masking release based on late auditory evoked potentials,ScienceDirect
JA,2012,"Grose, John H.; Mamo, Sara K.",Electrophysiological measurement of binaural beats: Effects of primary tone frequency and observer age,PubMed
JA,2012,"Poelmans, Hanne; Luts, Heleen; Vandermosten, ",Hemispheric Asymmetry of Auditory Steady-State Responses to Monaural and Diotic Stimulation,PubMed
JA,2012,"Hansen, Erin E.; Small, Susan A.",Effective Masking Levels for Bone Conduction Auditory Steady State Responses in Infants and Adults Run down Normal Hearing,IOPscience
JA,2011,"Zhang, Fawen; Deshpande, Aniruddha; Benson, Chelsea; ",The adaptive pattern of the auditory N1 peak revealed by standardized low-resolution brain electromagnetic tomography,ScienceDirect
JA,2011,"Rosner, Thomas; Kandzia, Florian; Oswald, Johann A.;",Hearing threshold estimation using concurrent measurement of distortion product otoacoustic emissions and auditory steady-state responses,PubMed
JA,2021,"M Geravanchizadeh, S Zakeri",Ear-EEG-based binaural speech enhancement (ee-BSE) using auditory attention detection and audiometric characteristics of hearing-impaired subjects - IOPscience,IOPscience
JA,2021,"H Pöntynen, N Salminen ",Cortical Processing of Binaural Cues as Shown by EEG Responses to Random-Chord Stereograms ,Springer
JA,2020,"Baker, D.H., Vilidaite, G., ",Binaural summation of amplitude modulation involves weak interaural suppression ,nature
JA,2014,"Ross, B., Miyazaki, T., Thompson,",Human cortical responses to slow and fast binaural beats reveal multiple mechanisms of binaural hearing ,PubMed
CP,2018,"Dai, L., Best, V., & Shinn-Cunningham, B. G",Sensorineural hearing loss degrades behavioral and physiological measures of human spatial selective auditory attention ,PubMed
JA,2017,"C Vercammen, A van Wieringen",Desynchronisation of auditory steady-state responses related to changes in interaural phase differences: an objective measure of binaural hearing:,PubMed
webpage,2016,"G Laumen, DJ Tollin, R Beutelmann, GM Klump",Aging effects on the binaural interaction component of the auditory brainstem response in the Mongolian gerbil: Effects of interaural time and level differences ,ScienceDirect
JA,2017,"A Bednar, FM Boland, EC Lalor",Different spatio‐temporal electroencephalography features drive the successful decoding of binaural and monaural cues for sound localization,Wiley
JA,2016,"JA Undurraga, NR Haywood",Neural Representation of Interaural Time Differences in Humans—an Objective Measure that Matches Behavioural Performance ,springer
JA,2014,"Mohebbi, M., Mahmoudian, S., Alborzi, M. S., Najafi-Koopaie",Auditory Middle Latency Responses Differ in Right- and Left-Handed Subjects: An Evaluation Through Topographic Brain Mapping ,PubMed
CR,2016,"Tirth R. Patel, Antoine J. Shahin, Jyoti Bhat, D. Bradley ",Cortical Auditory Evoked Potentials to Evaluate Cochlear Implant Candidacy in an Ear With Long-standing Hearing Loss ,PubMed
